Player,Player,CM,KG,Apps,Mins,xG,Goals,xGDiff,xG/90,Shots,xG/Shots,Rating
"1Robert Lewandowski36,  FW","Robert Lewandowski36,  FW",185,81,32(2),2682,27.97,27,-0.97,0.94,115,0.24,7.27
"2Raphinha28,  AM(CLR),FW","Raphinha28,  AM(CLR),FW",176,68,32(4),2845,18.93,18,-0.93,0.6,114,0.17,7.62
"3Lamine Yamal18,  AM(R)","Lamine Yamal18,  AM(R)",180,72,31(4),2864,11.97,9,-2.97,0.38,144,0.08,8.01
"4Ferran Torres25,  AM(LR),FW","Ferran Torres25,  AM(LR),FW",184,77,12(15),1104,9.3,10,0.7,0.76,48,0.19,6.73
"5Dani Olmo27,  AM(CLR),FW","Dani Olmo27,  AM(CLR),FW",179,72,13(12),1217,6.3,10,3.7,0.47,42,0.15,7.02
"6Fermín López22,  AM(CL)","Fermín López22,  AM(CL)",174,64,12(16),1247,4.87,6,1.13,0.35,41,0.12,6.68
"7Pau Víctor23,  Forward","Pau Víctor23,  Forward",184,77,2(19),309,2.95,2,-0.95,0.86,14,0.21,6.28
"8Jules Koundé26,  D(CR)","Jules Koundé26,  D(CR)",180,75,29(3),2606,2.9,2,-0.9,0.1,18,0.16,6.89
"9Pedri22,  M(CL)","Pedri22,  M(CL)",174,60,35(2),2897,2.77,4,1.23,0.09,25,0.11,7.16
"10Eric García24,  D(CR),DMC","Eric García24,  D(CR),DMC",182,76,14(15),1556,2.02,2,-0.02,0.12,14,0.14,6.73
"11Ansu Fati22,  AM(L),FW","Ansu Fati22,  AM(L),FW",178,66,3(3),233,1.08,-,-1.08,0.42,12,0.09,6.39
"12Gavi20,  M(CL)","Gavi20,  M(CL)",173,70,14(12),1085,1.05,1,-0.05,0.09,11,0.1,6.48
"13Pau Cubarsí18,  D(C)","Pau Cubarsí18,  D(C)",184,75,29(6),2621,1.01,-,-1.01,0.03,8,0.13,6.73
"14Marc Casadó21,  DMC","Marc Casadó21,  DMC",172,66,20(3),1618,0.96,1,0.04,0.05,14,0.07,6.75
"15Frenkie de Jong28,  D(C),DMC","Frenkie de Jong28,  D(C),DMC",181,74,9(17),1140,0.96,2,1.04,0.08,5,0.19,6.53
"16Ronald Araújo26,  D(CR)","Ronald Araújo26,  D(CR)",188,79,12(1),760,0.79,1,0.21,0.09,4,0.2,6.79
"17Gerard Martín23,  D(L)","Gerard Martín23,  D(L)",186,76,11(17),1033,0.68,1,0.32,0.06,7,0.1,6.43
"18Iñigo Martínez34,  D(C)","Iñigo Martínez34,  D(C)",182,76,28,2493,0.6,-,-0.6,0.02,13,0.05,6.91
"19Alejandro Balde21,  D(LR),M(L)","Alejandro Balde21,  D(LR),M(L)",175,69,26(6),2292,0.52,-,-0.52,0.02,12,0.04,6.73
"20Pablo Torre22,  AM(C)","Pablo Torre22,  AM(C)",173,65,4(6),309,0.32,3,2.68,0.09,6,0.05,6.66
"21Héctor Fort18,  D(R)","Héctor Fort18,  D(R)",185,78,5(12),579,0.25,-,-0.25,0.04,6,0.04,6.37
"22Marc Bernal18,  Midfielder","Marc Bernal18,  Midfielder",191,84,3,244,0.06,-,-0.06,0.02,2,0.03,6.68
"23Dani Rodríguez19,  Forward","Dani Rodríguez19,  Forward",0,0,1,38,0.05,-,-0.05,0.11,2,0.02,5.74
"24Andreas Christensen29,  D(C),DMC","Andreas Christensen29,  D(C),DMC",187,82,2(3),252,0.01,-,-0.01,-,1,0.01,6.57
