Player,Player,CM,KG,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
"1Robert Lewandowski36,  FW","Robert Lewandowski36,  FW",185,81,32(2),2682,27,2,3.4,0.6,0.6,1.1,0.5,1.3,2.2,7.27
"2Raphinha28,  AM(CLR),FW","Raphinha28,  AM(CLR),FW",176,68,32(4),2845,18,9,3.2,2.5,1.4,1,0.3,0.8,1.5,7.62
"3Dani Olmo27,  AM(CLR),FW","Dani Olmo27,  AM(CLR),FW",179,72,13(12),1217,10,3,1.7,1,0.9,1.1,-,1,1.4,7.02
"4Ferran Torres25,  AM(LR),FW","Ferran Torres25,  AM(LR),FW",184,77,12(15),1104,10,6,1.8,0.7,0.4,0.6,0.2,0.5,1,6.73
"5Lamine Yamal18,  AM(R)","Lamine Yamal18,  AM(R)",180,72,31(4),2864,9,13,4.1,1.8,4.6,1.7,0.4,1.4,2.9,8.01
"6Fermín López22,  AM(CL)","Fermín López22,  AM(CL)",174,64,12(16),1247,6,5,1.5,1,0.9,0.8,0.2,0.6,1.3,6.68
"7Pedri22,  M(CL)","Pedri22,  M(CL)",174,60,35(2),2897,4,5,0.7,1.9,1.1,1.4,0.1,0.9,1.3,7.16
"8Pablo Torre22,  AM(C)","Pablo Torre22,  AM(C)",173,65,4(6),309,3,1,0.6,0.8,0.2,0.8,0.1,0.6,0.5,6.66
"9Eric García24,  D(CR),DMC","Eric García24,  D(CR),DMC",182,76,14(15),1556,2,3,0.5,0.2,0.2,0.3,-,0.2,0.6,6.73
"10Frenkie de Jong28,  D(C),DMC","Frenkie de Jong28,  D(C),DMC",181,74,9(17),1140,2,2,0.2,0.8,0.2,0.7,-,0.3,0.2,6.53
"11Jules Koundé26,  D(CR)","Jules Koundé26,  D(CR)",180,75,29(3),2606,2,3,0.6,1,0.7,0.6,0.2,0.4,1.3,6.89
"12Pau Víctor23,  Forward","Pau Víctor23,  Forward",184,77,2(19),309,2,1,0.7,0.4,0.3,0.1,-,0.4,0.3,6.28
"13Gerard Martín23,  D(L)","Gerard Martín23,  D(L)",186,76,11(17),1033,1,3,0.3,0.4,0.1,0.3,-,0.1,0.3,6.43
"14Marc Casadó21,  DMC","Marc Casadó21,  DMC",172,66,20(3),1618,1,3,0.6,0.4,0.2,1.6,-,0.4,0.7,6.75
"15Gavi20,  M(CL)","Gavi20,  M(CL)",173,70,14(12),1085,1,1,0.4,0.5,0.3,1,-,0.3,0.7,6.48
"16Ronald Araújo26,  D(CR)","Ronald Araújo26,  D(CR)",188,79,12(1),760,1,1,0.3,0.3,-,0.3,-,0.1,0.2,6.79
"17Alejandro Balde21,  D(LR),M(L)","Alejandro Balde21,  D(LR),M(L)",175,69,26(6),2292,-,4,0.4,0.8,1.4,1.2,-,0.8,1.4,6.73
"18Andreas Christensen29,  D(C),DMC","Andreas Christensen29,  D(C),DMC",187,82,2(3),252,-,-,0.2,0.2,-,-,-,-,0.2,6.57
"19Ansu Fati22,  AM(L),FW","Ansu Fati22,  AM(L),FW",178,66,3(3),233,-,-,2,0.7,0.8,0.3,0.3,0.7,1.7,6.39
"20Dani Rodríguez19,  Forward","Dani Rodríguez19,  Forward",0,0,1,38,-,-,2,-,-,-,-,-,3,5.74
"21Héctor Fort18,  D(R)","Héctor Fort18,  D(R)",185,78,5(12),579,-,-,0.4,0.6,0.1,0.1,-,0.2,0.2,6.37
"22Iñaki Peña26,  GK","Iñaki Peña26,  GK",184,78,15(1),1394,-,-,-,-,-,-,-,-,-,6.57
"23Iñigo Martínez34,  D(C)","Iñigo Martínez34,  D(C)",182,76,28,2493,-,4,0.5,0.6,0.1,1,-,0.1,0.4,6.91
"24Marc Bernal18,  Midfielder","Marc Bernal18,  Midfielder",191,84,3,244,-,-,0.7,0.3,0.7,1,-,0.7,0.7,6.68
"25Marc-André ter Stegen33,  GK","Marc-André ter Stegen33,  GK",187,85,8,677,-,-,-,-,-,0.3,-,-,-,6.46
"26Pau Cubarsí18,  D(C)","Pau Cubarsí18,  D(C)",184,75,29(6),2621,-,3,0.2,0.3,0.2,0.3,-,-,0.2,6.73
"27Sergi Domínguez20,  Defender","Sergi Domínguez20,  Defender",188,78,2(1),173,-,-,-,-,-,-,-,-,-,6.13
"28Wojciech Szczesny35,  GK","Wojciech Szczesny35,  GK",195,90,15,1350,-,-,-,-,0.1,0.1,-,-,-,6.66
