Player,Player,CM,KG,Apps,Mins,xG,Goals,xGDiff,xG/90,Shots,xG/Shots,Rating
"1Ousmane Dembélé28,  AM(CLR),FW","Ousmane Dembélé28,  AM(CLR),FW",178,67,20(9),1737,17.54,21,3.46,0.91,97,0.18,7.65
"2Bradley Barcola22,  AM(LR),FW","Bradley Barcola22,  AM(LR),FW",182,73,27(7),2194,15.18,14,-1.18,0.62,74,0.21,7.25
"3Gonçalo Ramos24,  AM(C),FW","Gonçalo Ramos24,  AM(C),FW",185,79,12(10),1064,14.76,10,-4.76,1.25,55,0.27,6.84
"4Désiré Doué20,  AM(CLR),FW","Désiré Doué20,  AM(CLR),FW",181,79,18(13),1735,5.93,6,0.07,0.31,55,0.11,7.21
"5Marco Asensio29,  AM(CLR),FW","Marco Asensio29,  AM(CLR),FW",182,76,8(4),620,5.56,2,-3.56,0.81,26,0.21,6.98
"6Khvicha Kvaratskhelia24,  AM(CLR),FW","Khvicha Kvaratskhelia24,  AM(CLR),FW",183,76,11(3),920,4.43,4,-0.43,0.43,34,0.13,7.34
"7Fabián Ruiz29,  M(CL)","Fabián Ruiz29,  M(CL)",189,70,21(9),1923,4.29,4,-0.29,0.2,43,0.1,6.87
"8Randal Kolo Muani26,  AM(CLR),FW","Randal Kolo Muani26,  AM(CLR),FW",187,73,2(8),351,4.28,2,-2.28,1.1,16,0.27,6.55
"9Vitinha25,  M(C)","Vitinha25,  M(C)",172,64,20(9),2036,3.79,5,1.21,0.17,27,0.14,7.01
"10Lee Kang-In24,  M(CLR),FW","Lee Kang-In24,  M(CLR),FW",173,66,19(11),1669,3.79,6,2.21,0.2,41,0.09,7.07
"11Achraf Hakimi26,  D(LR),M(R)","Achraf Hakimi26,  D(LR),M(R)",181,73,24(1),2068,3.54,4,0.46,0.15,32,0.11,7.30
"12Senny Mayulu19,  M(C)","Senny Mayulu19,  M(C)",183,69,8(12),802,3.48,2,-1.48,0.39,25,0.14,6.65
"13João Neves20,  D(R),DMC","João Neves20,  D(R),DMC",174,66,22(7),1851,3.17,3,-0.17,0.15,28,0.11,7.11
"14Ibrahim Mbaye17,  Forward","Ibrahim Mbaye17,  Forward",185,65,4(5),337,2.41,1,-1.41,0.64,12,0.2,6.43
"15Warren Zaïre-Emery19,  D(R),DMC,M(R)","Warren Zaïre-Emery19,  D(R),DMC,M(R)",178,68,23(6),2053,1.81,1,-0.81,0.08,17,0.11,6.75
"16Nuno Mendes23,  D(L),M(L)","Nuno Mendes23,  D(L),M(L)",180,70,19(5),1676,1.76,1,-0.76,0.09,21,0.08,7.03
"17Marquinhos31,  D(CR),DMC","Marquinhos31,  D(CR),DMC",183,75,19(3),1725,1.56,2,0.45,0.08,8,0.19,6.93
"18Beraldo21,  D(CL)","Beraldo21,  D(CL)",186,78,22(3),2011,0.9,1,0.1,0.04,12,0.08,6.74
"19Willian Pacho23,  D(C)","Willian Pacho23,  D(C)",188,81,23(5),2131,0.27,-,-0.27,0.01,4,0.07,6.88
"20Yoram Zague19,  Defender","Yoram Zague19,  Defender",168,58,2(2),184,0.13,-,-0.13,0.07,1,0.13,6.47
"21Milan Skriniar30,  D(C)","Milan Skriniar30,  D(C)",188,83,4(1),381,0.09,-,-0.09,0.02,3,0.03,6.77
"22Lucas Hernández29,  D(CL)","Lucas Hernández29,  D(CL)",184,79,10(6),876,0.07,-,-0.07,0.01,3,0.02,6.52
"23Axel Tape17,  Defender","Axel Tape17,  Defender",180,75,2,180,0.04,-,-0.04,0.02,1,0.04,6.45
