Player,Player,CM,KG,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
"1Bradley Barcola22,  AM(LR),FW","Bradley Barcola22,  AM(LR),FW",182,73,27(7),2194,10,1.5,25.8,83.4,0.2,0.3,0.1,7.25
"2João Neves20,  D(R),DMC","João Neves20,  D(R),DMC",174,66,22(7),1851,8,1.1,54.1,92.2,0.1,2.2,0.2,7.11
"3Achraf Hakimi26,  D(LR),M(R)","Achraf Hakimi26,  D(LR),M(R)",181,73,24(1),2068,6,2,76.3,90.9,0.7,1.6,-,7.30
"4Désiré Doué20,  AM(CLR),FW","Désiré Doué20,  AM(CLR),FW",181,79,18(13),1735,6,1.8,33.2,86.1,0.7,0.8,0.2,7.21
"5Lee Kang-In24,  M(CLR),FW","Lee Kang-In24,  M(CLR),FW",173,66,19(11),1669,6,1.9,38.7,92,1.1,1.5,0.2,7.07
"6Ousmane Dembélé28,  AM(CLR),FW","Ousmane Dembélé28,  AM(CLR),FW",178,67,20(9),1737,6,2.2,33.7,83.2,1,1.2,0.3,7.65
"7Fabián Ruiz29,  M(CL)","Fabián Ruiz29,  M(CL)",189,70,21(9),1923,5,1.2,52.9,91,0.1,2.4,0.1,6.87
"8Marco Asensio29,  AM(CLR),FW","Marco Asensio29,  AM(CLR),FW",182,76,8(4),620,4,1.3,26.4,90.2,0.3,0.8,0.2,6.98
"9Gonçalo Ramos24,  AM(C),FW","Gonçalo Ramos24,  AM(C),FW",185,79,12(10),1064,3,0.7,10.8,80.7,-,-,-,6.84
"10Khvicha Kvaratskhelia24,  AM(CLR),FW","Khvicha Kvaratskhelia24,  AM(CLR),FW",183,76,11(3),920,3,1.8,36.2,89.3,0.7,0.5,0.3,7.34
"11Nuno Mendes23,  D(L),M(L)","Nuno Mendes23,  D(L),M(L)",180,70,19(5),1676,3,1.3,54.4,88.6,0.9,2.2,-,7.03
"12Senny Mayulu19,  M(C)","Senny Mayulu19,  M(C)",183,69,8(12),802,2,0.6,21.8,90.1,0.1,0.6,-,6.65
"13Warren Zaïre-Emery19,  D(R),DMC,M(R)","Warren Zaïre-Emery19,  D(R),DMC,M(R)",178,68,23(6),2053,2,0.6,55.7,93.3,-,1.1,-,6.75
"14Arnau Tenas24,  GK","Arnau Tenas24,  GK",185,85,1,90,1,2,28,96.4,-,6,-,7.81
"15Ibrahim Mbaye17,  Forward","Ibrahim Mbaye17,  Forward",185,65,4(5),337,1,0.3,15.8,90.1,-,0.1,-,6.43
"16Randal Kolo Muani26,  AM(CLR),FW","Randal Kolo Muani26,  AM(CLR),FW",187,73,2(8),351,1,0.5,7.8,73.1,-,0.2,0.1,6.55
"17Vitinha25,  M(C)","Vitinha25,  M(C)",172,64,20(9),2036,1,0.9,81.7,93.8,0.2,5.2,0.2,7.01
"18Willian Pacho23,  D(C)","Willian Pacho23,  D(C)",188,81,23(5),2131,1,0.1,69.8,94.9,-,1.4,-,6.88
"19Axel Tape17,  Defender","Axel Tape17,  Defender",180,75,2,180,-,0.5,75,94,-,1,-,6.45
"20Gianluigi Donnarumma26,  GK","Gianluigi Donnarumma26,  GK",196,90,24,2092,-,-,22.6,85.4,-,2.6,-,6.64
"21Lucas Hernández29,  D(CL)","Lucas Hernández29,  D(CL)",184,79,10(6),876,-,0.1,53.1,92.1,-,1.3,-,6.52
"22Beraldo21,  D(CL)","Beraldo21,  D(CL)",186,78,22(3),2011,-,0.3,84,94.7,0.1,2.8,-,6.74
"23Marquinhos31,  D(CR),DMC","Marquinhos31,  D(CR),DMC",183,75,19(3),1725,-,0.4,82.4,95.1,-,4.4,0.1,6.93
"24Matvey Safonov26,  GK","Matvey Safonov26,  GK",192,82,9(1),878,-,-,26.4,77.3,-,4.6,-,6.58
"25Milan Skriniar30,  D(C)","Milan Skriniar30,  D(C)",188,83,4(1),381,-,0.2,74.6,96.5,-,2.8,-,6.77
"26Noham Kamara18,  Defender","Noham Kamara18,  Defender",185,0,0(2),76,-,-,37,93.2,-,2,-,6.39
"27Presnel Kimpembe29,  D(C)","Presnel Kimpembe29,  D(C)",182,79,0(2),21,-,-,9,100,-,1,-,6.25
"28Yoram Zague19,  Defender","Yoram Zague19,  Defender",168,58,2(2),184,-,0.5,41,95.7,0.3,0.5,-,6.47
