Player,Player,CM,KG,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
"1Arnau Tenas24,  GK","Arnau Tenas24,  GK",185,85,1,90,-,1,-,-,-,96.4,1,-,7.81
"2Ousmane Dembélé28,  AM(CLR),FW","Ousmane Dembélé28,  AM(CLR),FW",178,67,20(9),1737,21,6,2,-,3.3,83.2,0.1,9,7.65
"3Khvicha Kvaratskhelia24,  AM(CLR),FW","Khvicha Kvaratskhelia24,  AM(CLR),FW",183,76,11(3),920,4,3,-,-,2.4,89.3,0.2,3,7.34
"4Achraf Hakimi26,  D(LR),M(R)","Achraf Hakimi26,  D(LR),M(R)",181,73,24(1),2068,4,6,4,-,1.3,90.9,0.4,-,7.30
"5Bradley Barcola22,  AM(LR),FW","Bradley Barcola22,  AM(LR),FW",182,73,27(7),2194,14,10,2,-,2.2,83.4,0.4,4,7.25
"6Désiré Doué20,  AM(CLR),FW","Désiré Doué20,  AM(CLR),FW",181,79,18(13),1735,6,6,1,-,1.8,86.1,0.3,2,7.21
"7João Neves20,  D(R),DMC","João Neves20,  D(R),DMC",174,66,22(7),1851,3,8,1,-,1,92.2,0.8,4,7.11
"8Lee Kang-In24,  M(CLR),FW","Lee Kang-In24,  M(CLR),FW",173,66,19(11),1669,6,6,1,-,1.4,92,0.2,2,7.07
"9Nuno Mendes23,  D(L),M(L)","Nuno Mendes23,  D(L),M(L)",180,70,19(5),1676,1,3,3,-,0.9,88.6,0.7,1,7.03
"10Vitinha25,  M(C)","Vitinha25,  M(C)",172,64,20(9),2036,5,1,1,-,0.9,93.8,-,1,7.01
"11Marco Asensio29,  AM(CLR),FW","Marco Asensio29,  AM(CLR),FW",182,76,8(4),620,2,4,-,-,2.2,90.2,0.1,-,6.98
"12Marquinhos31,  D(CR),DMC","Marquinhos31,  D(CR),DMC",183,75,19(3),1725,2,-,3,-,0.4,95.1,1.5,-,6.93
"13Willian Pacho23,  D(C)","Willian Pacho23,  D(C)",188,81,23(5),2131,-,1,2,-,0.1,94.9,1,-,6.88
"14Fabián Ruiz29,  M(CL)","Fabián Ruiz29,  M(CL)",189,70,21(9),1923,4,5,2,-,1.4,91,0.2,2,6.87
"15Gonçalo Ramos24,  AM(C),FW","Gonçalo Ramos24,  AM(C),FW",185,79,12(10),1064,10,3,1,-,2.5,80.7,0.9,1,6.84
"16Milan Skriniar30,  D(C)","Milan Skriniar30,  D(C)",188,83,4(1),381,-,-,1,-,0.6,96.5,1.4,-,6.77
"17Warren Zaïre-Emery19,  D(R),DMC,M(R)","Warren Zaïre-Emery19,  D(R),DMC,M(R)",178,68,23(6),2053,1,2,3,-,0.6,93.3,0.3,-,6.75
"18Beraldo21,  D(CL)","Beraldo21,  D(CL)",186,78,22(3),2011,1,-,6,-,0.5,94.7,1.9,-,6.74
"19Senny Mayulu19,  M(C)","Senny Mayulu19,  M(C)",183,69,8(12),802,2,2,2,-,1.3,90.1,0.1,-,6.65
"20Gianluigi Donnarumma26,  GK","Gianluigi Donnarumma26,  GK",196,90,24,2092,-,-,2,-,-,85.4,0.2,-,6.64
"21Matvey Safonov26,  GK","Matvey Safonov26,  GK",192,82,9(1),878,-,-,-,-,-,77.3,-,-,6.58
"22Randal Kolo Muani26,  AM(CLR),FW","Randal Kolo Muani26,  AM(CLR),FW",187,73,2(8),351,2,1,-,-,1.6,73.1,0.9,-,6.55
"23Lucas Hernández29,  D(CL)","Lucas Hernández29,  D(CL)",184,79,10(6),876,-,-,2,-,0.2,92.1,0.8,-,6.52
"24Yoram Zague19,  Defender","Yoram Zague19,  Defender",168,58,2(2),184,-,-,-,-,0.3,95.7,0.3,-,6.47
"25Axel Tape17,  Defender","Axel Tape17,  Defender",180,75,2,180,-,-,1,-,0.5,94,0.5,-,6.45
"26Ibrahim Mbaye17,  Forward","Ibrahim Mbaye17,  Forward",185,65,4(5),337,1,1,-,-,1.3,90.1,0.2,-,6.43
"27Noham Kamara18,  Defender","Noham Kamara18,  Defender",185,0,0(2),76,-,-,-,-,-,93.2,1,-,6.39
"28Presnel Kimpembe29,  D(C)","Presnel Kimpembe29,  D(C)",182,79,0(2),21,-,-,-,-,-,100,-,-,6.25
